price,vehicleType,gearbox,powerPS,kilometer,fuelType,notRepairedDamage
5800,wagon,automatic,80,80000,diesel,no
28000,bus,manual,120,50000,diesel,no
14300,limousine,manual,115,50000,diesel,no
5850,cabrio,manual,113,50000,gas,no
7700,limousine,manual,110,125000,diesel,no
6000,limousine,manual,122,150000,gas,no
9999,other,manual,163,70000,diesel,no
5400,limousine,manual,116,90000,gas,no
39999,suv,automatic,239,100000,diesel,no
14500,kombi,automatic,122,50000,gas,no
8990,limousine,manual,140,150000,diesel,no
19900,suv,manual,140,125000,diesel,no
5250,wagon,manual,77,50000,gas,no
13900,limousine,manual,105,40000,gas,no
7500,cabrio,automatic,69,90000,gas,no
6900,coupe,automatic,150,150000,gas,no
7000,bus,manual,95,90000,gas,yes
20900,suv,automatic,170,100000,diesel,no
12800,limousine,automatic,184,125000,diesel,no
10299,wagon,manual,150,60000,gas,no
15990,kombi,automatic,170,125000,diesel,no
19950,coupe,automatic,320,80000,gas,no
9000,kombi,manual,177,150000,diesel,no
6950,bus,manual,140,125000,diesel,no
12000,kombi,automatic,270,100000,gas,no
5000,wagon,manual,60,80000,gas,no
17749,kombi,automatic,170,125000,diesel,no
14500,cabrio,manual,98,40000,gas,no
10900,bus,automatic,109,70000,diesel,no
5950,limousine,automatic,238,125000,gas,no
50500,limousine,automatic,258,30000,diesel,no
5900,cabrio,manual,170,150000,gas,no
7999,kombi,automatic,209,150000,gas,no
6000,coupe,automatic,170,150000,diesel,no
14500,limousine,manual,143,150000,diesel,no
31500,cabrio,automatic,224,60000,gas,no
23500,suv,automatic,211,150000,diesel,no
6500,limousine,manual,140,150000,diesel,yes
5900,kombi,manual,170,150000,gas,no
12250,cabrio,manual,116,60000,gas,no
18500,cabrio,manual,235,150000,diesel,no
18900,kombi,automatic,184,150000,diesel,no
13999,bus,manual,160,50000,gas,no
11900,limousine,automatic,265,150000,gas,no
7990,suv,manual,185,150000,diesel,no
34000,limousine,automatic,258,70000,diesel,no
6300,wagon,manual,120,125000,gas,no
23900,bus,manual,140,125000,diesel,no
19999,kombi,manual,160,50000,diesel,no
35700,bus,automatic,140,90000,diesel,no
32000,bus,manual,179,80000,diesel,no
5900,bus,automatic,136,150000,diesel,no
5990,suv,manual,82,60000,gas,no
6950,wagon,manual,86,60000,gas,no
8999,cabrio,manual,131,80000,diesel,no
23333,suv,manual,140,20000,gas,no
17444,cabrio,manual,105,60000,gas,no
8390,wagon,manual,69,50000,gas,no
16099,wagon,automatic,185,50000,gas,no
56000,cabrio,manual,355,60000,gas,no
11900,limousine,manual,109,70000,diesel,no
9995,wagon,manual,60,20000,gas,no
5350,limousine,manual,116,150000,gas,no
19900,bus,manual,140,60000,diesel,no
6250,kombi,manual,160,125000,gas,yes
5800,limousine,automatic,190,150000,diesel,yes
8990,cabrio,manual,150,100000,gas,no
12000,limousine,manual,163,125000,diesel,no
6800,limousine,automatic,150,150000,diesel,no
7350,kombi,manual,143,150000,diesel,no
12300,limousine,automatic,177,80000,gas,no
12500,wagon,manual,101,60000,gas,no
6999,cabrio,manual,245,150000,gas,no
9999,limousine,manual,300,150000,gas,no
9900,coupe,manual,163,150000,gas,no
5499,cabrio,manual,145,150000,gas,yes
63900,bus,automatic,179,10000,diesel,no
10997,limousine,automatic,232,150000,diesel,no
10900,kombi,manual,170,125000,diesel,no
5990,wagon,manual,69,70000,gas,no
10000,kombi,automatic,231,150000,diesel,no
11500,kombi,automatic,136,150000,diesel,no
7500,coupe,manual,143,80000,gas,no
18900,kombi,manual,160,30000,gas,no
6500,cabrio,manual,163,125000,gas,no
10800,kombi,manual,184,125000,gas,no
19500,kombi,automatic,190,150000,diesel,no
7900,wagon,manual,75,40000,gas,no
5200,wagon,manual,75,150000,diesel,no
6500,limousine,manual,188,125000,gas,no
5750,cabrio,automatic,71,60000,gas,no
15999,limousine,automatic,232,125000,diesel,no
6200,cabrio,manual,179,150000,gas,no
10750,coupe,automatic,170,150000,diesel,no
8999,wagon,automatic,122,150000,gas,no
6300,bus,manual,120,150000,diesel,no
8000,kombi,automatic,156,30000,gas,no
76500,suv,automatic,258,10000,diesel,no
17499,kombi,manual,143,100000,diesel,no
6800,limousine,manual,109,70000,gas,no
6299,limousine,manual,143,125000,gas,no
10950,coupe,manual,200,150000,gas,no
6800,coupe,automatic,250,60000,gas,no
9999,limousine,manual,120,50000,gas,no
8400,coupe,manual,150,150000,gas,no
12900,limousine,automatic,140,40000,gas,no
11200,cabrio,manual,180,125000,gas,no
6999,bus,manual,170,150000,diesel,no
49900,suv,automatic,200,70000,diesel,no
8800,wagon,manual,90,40000,gas,no
10989,suv,automatic,204,150000,diesel,no
6350,limousine,manual,101,40000,gas,no
6800,kombi,manual,156,150000,diesel,no
11490,suv,automatic,218,150000,diesel,no
5200,limousine,manual,116,100000,gas,no
11500,suv,manual,140,150000,diesel,no
6700,kombi,manual,179,150000,diesel,no
8500,limousine,manual,95,40000,gas,yes
11500,limousine,manual,143,125000,diesel,no
13490,kombi,automatic,177,150000,diesel,no
19999,kombi,manual,177,150000,diesel,no
16000,wagon,manual,211,125000,gas,no
18500,suv,automatic,272,150000,diesel,no
10250,coupe,manual,160,80000,gas,no
8590,limousine,manual,90,60000,gas,no
10499,cabrio,manual,126,40000,gas,no
14500,cabrio,manual,163,100000,gas,no
9500,wagon,manual,92,40000,diesel,no
19500,kombi,automatic,163,70000,diesel,no
8000,bus,manual,170,150000,diesel,no
7700,suv,manual,150,150000,diesel,no
9200,limousine,automatic,232,150000,diesel,no
10900,limousine,manual,143,150000,diesel,no
8100,coupe,automatic,143,150000,diesel,no
7950,limousine,manual,116,125000,gas,no
5250,bus,manual,170,100000,gas,no
18500,kombi,manual,170,80000,diesel,no
12800,bus,automatic,110,150000,gas,no
17490,suv,manual,163,20000,diesel,no
5999,wagon,manual,69,50000,diesel,no
8500,bus,manual,131,150000,diesel,yes
24900,kombi,automatic,170,90000,diesel,no
7500,bus,manual,241,150000,gas,no
5900,kombi,manual,122,150000,diesel,no
12499,suv,manual,110,40000,diesel,yes
5450,kombi,manual,101,125000,gas,no
7000,kombi,manual,150,150000,diesel,no
6450,kombi,manual,105,150000,diesel,no
12500,kombi,automatic,150,125000,diesel,no
24500,limousine,automatic,387,150000,gas,no
9999,wagon,manual,101,20000,gas,no
22000,limousine,automatic,156,50000,gas,no
7950,coupe,automatic,218,125000,lpg,no
24900,bus,manual,140,100000,diesel,no
6300,limousine,manual,209,70000,gas,no
9000,limousine,automatic,144,50000,gas,no
9500,kombi,automatic,204,150000,gas,no
17850,kombi,automatic,140,70000,diesel,no
5100,limousine,automatic,140,150000,diesel,no
7999,kombi,automatic,140,150000,diesel,no
7050,wagon,manual,69,30000,gas,no
7600,bus,manual,95,150000,diesel,no
21999,limousine,automatic,170,100000,diesel,no
11150,suv,manual,155,70000,diesel,no
12500,cabrio,automatic,200,150000,gas,no
24000,coupe,automatic,239,150000,diesel,no
8500,limousine,manual,102,125000,gas,no
8150,kombi,manual,140,125000,diesel,no
13490,cabrio,automatic,163,100000,gas,no
16100,limousine,automatic,143,60000,diesel,no
9499,bus,manual,109,125000,diesel,no
15400,kombi,automatic,160,70000,gas,no
19000,cabrio,manual,140,50000,diesel,no
41900,bus,automatic,180,30000,diesel,no
11150,kombi,automatic,218,125000,diesel,no
9000,limousine,manual,256,125000,gas,no
12500,limousine,automatic,320,150000,gas,no
10900,limousine,manual,100,10000,gas,no
7990,kombi,manual,235,150000,diesel,no
5900,limousine,manual,90,125000,diesel,no
19990,bus,automatic,190,90000,diesel,no
6450,limousine,manual,143,80000,diesel,no
10900,cabrio,manual,163,70000,gas,no
9000,kombi,automatic,197,150000,diesel,yes
5499,bus,automatic,140,150000,gas,no
8490,suv,manual,171,150000,diesel,no
5499,kombi,automatic,200,150000,diesel,no
12990,coupe,automatic,200,150000,gas,no
10000,kombi,manual,140,40000,diesel,no
8999,coupe,automatic,306,150000,gas,no
9800,limousine,manual,105,80000,gas,no
16000,limousine,manual,204,100000,diesel,no
5950,kombi,manual,218,150000,diesel,no
13200,kombi,manual,90,30000,gas,no
8500,bus,manual,105,125000,diesel,no
32500,coupe,manual,184,20000,diesel,no
9500,coupe,manual,131,125000,diesel,no
17300,limousine,automatic,204,125000,diesel,no
17500,cabrio,automatic,272,60000,gas,no
22480,coupe,manual,245,125000,gas,no
7999,wagon,automatic,75,30000,gas,no
15500,limousine,automatic,235,150000,diesel,no
13990,kombi,automatic,190,150000,diesel,no
9999,suv,manual,105,5000,gas,no
5990,bus,manual,116,150000,diesel,no
7499,limousine,manual,150,150000,gas,no
5990,kombi,manual,163,150000,diesel,no
5900,limousine,manual,125,150000,diesel,no
5700,bus,manual,109,150000,diesel,no
10750,kombi,manual,125,125000,gas,no
7290,cabrio,automatic,136,30000,gas,no
6500,bus,manual,101,150000,diesel,no
10999,kombi,automatic,177,90000,diesel,yes
10950,suv,manual,140,150000,diesel,no
17950,cabrio,manual,143,80000,diesel,no
8200,limousine,manual,192,150000,gas,no
8800,kombi,manual,101,60000,gas,no
8990,wagon,manual,69,70000,gas,no
6999,kombi,manual,109,150000,diesel,no
27000,coupe,manual,265,30000,gas,no
46999,limousine,automatic,258,40000,diesel,no
5150,wagon,manual,69,60000,gas,no
6900,suv,manual,86,125000,gas,no
7950,kombi,manual,116,150000,diesel,no
